"","ID","Title","U","N1","AUC","P.Value","adj.P.Val"
"GO:0008021","GO:0008021","synaptic vesicle",991763,129,0.58558041521196,0.000403225855459671,0.0503258551644804
"GO:0042773","GO:0042773","ATP synthesis coupled electron transport",494884,60,0.624948224478456,0.00041145058648189,0.0503258551644804
"GO:0042775","GO:0042775","mitochondrial ATP synthesis coupled electron transport",494884,60,0.624948224478456,0.00041145058648189,0.0503258551644804
"GO:0089711","GO:0089711","L-glutamate transmembrane transport",132196,13,0.767755611696722,0.000415190301214181,0.0503258551644804
"GO:0005313","GO:0005313","L-glutamate transmembrane transporter activity",132196,13,0.767755611696722,0.000415190301214181,0.0503258551644804
"GO:0032839","GO:0032839","dendrite cytoplasm",140410,14,0.757270138499374,0.000430068406907261,0.0511456824289899
"GO:0009055","GO:0009055","electron carrier activity",855607,110,0.59159153137705,0.000460327038976044,0.0537303949382594
"GO:0002931","GO:0002931","response to ischemia",251978,28,0.680212720008638,0.000483916178263935,0.055456794029047
"GO:0042166","GO:0042166","acetylcholine binding",65779,18,0.276011245384357,0.000501723260663681,0.0562831297862872
"GO:0010463","GO:0010463","mesenchymal cell proliferation",388972,46,0.64001763877371,0.000512061290994876,0.0562831297862872
"GO:0007158","GO:0007158","neuron cell-cell adhesion",156079,16,0.736666477873433,0.00052418948874503,0.0562831297862872
"GO:0022898","GO:0022898","regulation of transmembrane transporter activity",1316402,176,0.571744138371948,0.000528275327315981,0.0562831297862872
"GO:0015464","GO:0015464","acetylcholine receptor activity",97530,24,0.307068913404866,0.000535774676690026,0.0562831297862872
"GO:0017080","GO:0017080","sodium channel regulator activity",274275,31,0.668903050212542,0.000569508302661242,0.0568778709446825
"GO:0045844","GO:0045844","positive regulation of striated muscle tissue development",418010,50,0.632964869775893,0.00057566211271223,0.0568778709446825
"GO:0048636","GO:0048636","positive regulation of muscle organ development",418010,50,0.632964869775893,0.00057566211271223,0.0568778709446825
"GO:0032682","GO:0032682","negative regulation of chemokine production",46193,14,0.249131682271217,0.000577531927726429,0.0568778709446825
"GO:0005892","GO:0005892","acetylcholine-gated channel complex",61612,17,0.273713110347983,0.000619390797775198,0.0597440197327634
"GO:0050997","GO:0050997","quaternary ammonium group binding",186364,40,0.35248146466939,0.000625591829662444,0.0597440197327634
"GO:0015813","GO:0015813","L-glutamate transport",211282,23,0.694081897472118,0.000637865711750615,0.0600069788233452
"GO:0021762","GO:0021762","substantia nigra development",379261,45,0.637858338168639,0.000692024901213586,0.0641446022404299
"GO:0002053","GO:0002053","positive regulation of mesenchymal cell proliferation",272071,31,0.663527925528672,0.00081584785898161,0.0722934565479708
"GO:0005747","GO:0005747","mitochondrial respiratory chain complex I",355463,42,0.640390796148968,0.000825817685459924,0.0722934565479708
"GO:0030964","GO:0030964","NADH dehydrogenase complex",355463,42,0.640390796148968,0.000825817685459924,0.0722934565479708
"GO:0045271","GO:0045271","respiratory chain complex I",355463,42,0.640390796148968,0.000825817685459924,0.0722934565479708
"GO:0003735","GO:0003735","structural constituent of ribosome",1371299,185,0.5670027558347,0.000860063492962442,0.0742600026868804
"GO:0061082","GO:0061082","myeloid leukocyte cytokine production",201620,22,0.692395395477898,0.000894131921404867,0.0761582905488497
"GO:0000788","GO:0000788","nuclear nucleosome",183897,39,0.356706838059437,0.000983385712783255,0.0822574224641323
"GO:0004497","GO:0004497","monooxygenase activity",468809,88,0.404508352315869,0.000991839458555299,0.0822574224641323
"GO:0006119","GO:0006119","oxidative phosphorylation",624840,79,0.600149259322224,0.00105525043743481,0.085967064811955
"GO:0048643","GO:0048643","positive regulation of skeletal muscle tissue development",216271,24,0.680919726965896,0.00107969554564853,0.085967064811955
"GO:0071556","GO:0071556","integral component of lumenal side of endoplasmic reticulum membrane",223998,25,0.67708909544321,0.00109112568379445,0.085967064811955
"GO:0098553","GO:0098553","lumenal side of endoplasmic reticulum membrane",223998,25,0.67708909544321,0.00109112568379445,0.085967064811955
"GO:0050770","GO:0050770","regulation of axonogenesis",1180492,158,0.570341095758044,0.00116557919560568,0.0903360082334616
"GO:0042165","GO:0042165","neurotransmitter binding",101858,24,0.320695430960657,0.00118288019837311,0.0903360082334616
"GO:0003684","GO:0003684","damaged DNA binding",485764,60,0.613431327978987,0.00119609346007867,0.0903360082334616
"GO:0044815","GO:0044815","DNA packaging complex",536249,99,0.411631321958854,0.00120541040984708,0.0903360082334616
"GO:0007274","GO:0007274","neuromuscular synaptic transmission",123896,28,0.334456322211424,0.00121823904487454,0.0903360082334616
"GO:0042107","GO:0042107","cytokine metabolic process",608105,111,0.416705212095795,0.00123458035318154,0.090483255419805
"GO:0002028","GO:0002028","regulation of sodium ion transport",615822,78,0.599025329753706,0.00126162718515826,0.0914027143454313
"GO:0032412","GO:0032412","regulation of ion transmembrane transporter activity",1275361,172,0.566627658175433,0.00131852013024027,0.0932577605281722
"GO:0045333","GO:0045333","cellular respiration",1344045,182,0.564764655656366,0.00132486923301412,0.0932577605281722
"GO:0042379","GO:0042379","chemokine receptor binding",277987,55,0.382815200402112,0.00133161961725139,0.0932577605281722
"GO:0071013","GO:0071013","catalytic step 2 spliceosome",622295,79,0.597704825763273,0.00135349486556385,0.0937214701767257
"GO:0006376","GO:0006376","mRNA splice site selection",159797,17,0.709902841885943,0.00136797957421208,0.0937214701767257
"GO:0097090","GO:0097090","presynaptic membrane organization",151715,16,0.716069136082163,0.00138583061208533,0.0939235521287513
"GO:0014069","GO:0014069","postsynaptic density",1356234,184,0.563778258874234,0.00146060809586941,0.0969075034554202
"GO:0099572","GO:0099572","postsynaptic specialization",1356234,184,0.563778258874234,0.00146060809586941,0.0969075034554202
"GO:0016528","GO:0016528","sarcoplasm",534294,67,0.60454380361101,0.00155474614343222,0.0992484202992538
"GO:0042035","GO:0042035","regulation of cytokine biosynthetic process",527453,97,0.413164637475453,0.00158056652226466,0.0992484202992538
"GO:0016917","GO:0016917","GABA receptor activity",198511,22,0.681718591170087,0.0015889325669233,0.0992484202992538
"GO:0001662","GO:0001662","behavioral fear response",298106,35,0.644128736724971,0.00159028254134827,0.0992484202992538
"GO:0002209","GO:0002209","behavioral defense response",298106,35,0.644128736724971,0.00159028254134827,0.0992484202992538
"GO:0002690","GO:0002690","positive regulation of leukocyte chemotaxis",420585,79,0.403965457128285,0.00159961254763273,0.0992484202992538
"GO:0008328","GO:0008328","ionotropic glutamate receptor complex",372820,45,0.627025572458101,0.00160611436943105,0.0992484202992538
"GO:0015172","GO:0015172","acidic amino acid transmembrane transporter activity",134505,14,0.725422832980973,0.00174945100864724,0.107056210752462
"GO:0060612","GO:0060612","adipose tissue development",266800,31,0.65067298804742,0.00185073228766866,0.110815703987286
"GO:0086009","GO:0086009","membrane repolarization",289493,34,0.643867211131276,0.00185326355925851,0.110815703987286
"GO:0042089","GO:0042089","cytokine biosynthetic process",601201,109,0.419469579784558,0.0018636307508571,0.110815703987286
"GO:0006120","GO:0006120","mitochondrial electron transport, NADH to ubiquinone",341737,41,0.630630913254733,0.00190838915441134,0.112416605983689
"GO:0072091","GO:0072091","regulation of stem cell proliferation",732644,95,0.585887875504304,0.00193002551227189,0.112464736107307
"GO:0001846","GO:0001846","opsonin binding",36288,11,0.249030655311323,0.0019753363741926,0.112464736107307
"GO:0022627","GO:0022627","cytosolic small ribosomal subunit",273900,32,0.647162785422652,0.00198726733036417,0.112464736107307
"GO:0008395","GO:0008395","steroid hydroxylase activity",132555,29,0.34551833615281,0.00199765550862543,0.112464736107307
"GO:0016529","GO:0016529","sarcoplasmic reticulum",488355,61,0.606639362895442,0.00199842145708684,0.112464736107307
"GO:1990138","GO:1990138","neuron projection extension",1067500,143,0.569198243616848,0.00217983707927417,0.121588611598806
"GO:0061134","GO:0061134","peptidase regulator activity",1135325,197,0.441242712348966,0.00228829854006551,0.12651882191257
"GO:1902710","GO:1902710","GABA receptor complex",165007,18,0.692375797247399,0.00236198093196431,0.128341084604923
"GO:1902711","GO:1902711","GABA-A receptor complex",165007,18,0.692375797247399,0.00236198093196431,0.128341084604923
"GO:0031958","GO:0031958","corticosteroid receptor signaling pathway",156947,17,0.697241633606845,0.0024371212422287,0.131292095639038
"GO:0006493","GO:0006493","protein O-linked glycosylation",485026,89,0.413830232901409,0.00250442880260763,0.132733607211836
"GO:0004890","GO:0004890","GABA-A receptor activity",172555,19,0.685991548097527,0.0025059970265284,0.132733607211836
"GO:0016248","GO:0016248","channel inhibitor activity",302160,36,0.63480058488378,0.00257224964520213,0.133046197141111
"GO:0070555","GO:0070555","response to interleukin-1",635478,114,0.42409984944101,0.00259445090129419,0.133046197141111
"GO:0021978","GO:0021978","telencephalon regionalization",124643,13,0.723890002032697,0.00259601133382345,0.133046197141111
"GO:0098576","GO:0098576","lumenal side of membrane",241650,28,0.652332361516035,0.0026417721095367,0.133046197141111
"GO:0045742","GO:0045742","positive regulation of epidermal growth factor receptor signaling pathway",106580,24,0.335562440179336,0.00265222536814123,0.133046197141111
"GO:1901186","GO:1901186","positive regulation of ERBB signaling pathway",106580,24,0.335562440179336,0.00265222536814123,0.133046197141111
"GO:0051537","GO:0051537","2 iron, 2 sulfur cluster binding",187833,21,0.675714177791688,0.0026596574392797,0.133046197141111
"GO:0015800","GO:0015800","acidic amino acid transport",226217,26,0.657546391033392,0.00271824953476632,0.134906510375056
"GO:0048588","GO:0048588","developmental cell growth",1331472,182,0.559481509619166,0.00288558700738621,0.142092616465275
"GO:0048857","GO:0048857","neural nucleus development",535107,68,0.596605048387816,0.00295813315242603,0.144535761703421
"GO:0050796","GO:0050796","regulation of insulin secretion",1364613,187,0.558289015524836,0.00305753357945296,0.148243339625323
"GO:0031996","GO:0031996","thioesterase binding",53514,14,0.288615869180653,0.00308820201379668,0.148587307579851
"GO:0005681","GO:0005681","spliceosomal complex",1061895,143,0.566209619583619,0.00318826328314191,0.152048964805397
"GO:0098800","GO:0098800","inner mitochondrial membrane protein complex",733546,96,0.580542787317024,0.0032279367259073,0.152048964805397
"GO:0036465","GO:0036465","synaptic vesicle recycling",278013,33,0.637023543564186,0.00323251805234383,0.152048964805397
"GO:0046631","GO:0046631","alpha-beta T cell activation",626606,112,0.425581654386994,0.00329822492775276,0.153469864675712
"GO:0006323","GO:0006323","DNA packaging",971784,169,0.43931554614042,0.00331142338503838,0.153469864675712
"GO:0001848","GO:0001848","complement binding",75226,18,0.31565122524337,0.00339072857546348,0.155998264314937
"GO:0007215","GO:0007215","glutamate receptor signaling pathway",540657,69,0.594101804204426,0.00346067012301803,0.158062346270889
"GO:0015740","GO:0015740","C4-dicarboxylate transport",107072,11,0.734794155795137,0.00350552362592072,0.158959103699124
"GO:0000786","GO:0000786","nucleosome",513296,93,0.419241308618077,0.00359107590739363,0.1616753674593
"GO:0071624","GO:0071624","positive regulation of granulocyte chemotaxis",119875,26,0.348441424053576,0.0037442105837377,0.167374179498573
"GO:2000484","GO:2000484","positive regulation of interleukin-8 secretion",49415,13,0.286987832854198,0.00391771904899927,0.173897064548186
"GO:0042043","GO:0042043","neurexin family protein binding",122722,13,0.712733397218108,0.00395837411557379,0.174472951401829
"GO:0014812","GO:0014812","muscle cell migration",517443,66,0.594303021114725,0.00405815943494155,0.175734552952478
"GO:0015935","GO:0015935","small ribosomal subunit",452549,57,0.60142838726997,0.0040620182908692,0.175734552952478
"GO:0002385","GO:0002385","mucosal immune response",126119,27,0.35304013861946,0.00411533668750008,0.175734552952478
"GO:0042613","GO:0042613","MHC class II protein complex",146355,16,0.690770842772995,0.00412491357241349,0.175734552952478
"GO:0031201","GO:0031201","SNARE complex",212129,42,0.382164836273492,0.00413211524200521,0.175734552952478
"GO:0042255","GO:0042255","ribosome assembly",364941,45,0.613774313176417,0.004154283418994,0.175734552952478
"GO:0031497","GO:0031497","chromatin assembly",781516,137,0.434760791888192,0.00425177414952416,0.178659549763005
"GO:1902305","GO:1902305","regulation of sodium ion transmembrane transport",386574,48,0.609661241483724,0.00430727895810522,0.179793240218127
"GO:1901031","GO:1901031","regulation of response to reactive oxygen species",245768,29,0.64061974606468,0.00439347629808687,0.182184744123957
"GO:0007271","GO:0007271","synaptic transmission, cholinergic",201144,40,0.380435769405356,0.00445553577675136,0.183550601312835
"GO:0098798","GO:0098798","mitochondrial protein complex",924815,124,0.567853318400409,0.00459323165728972,0.187994409973358
"GO:0044309","GO:0044309","neuron spine",855022,114,0.570617238470492,0.00465413627508215,0.189258199624792
"GO:0016605","GO:0016605","PML body",665274,87,0.580580638236041,0.00472993833609453,0.190458226973842
"GO:0097104","GO:0097104","postsynaptic membrane assembly",105773,11,0.725879615967938,0.00474408085592467,0.190458226973842
"GO:0061081","GO:0061081","positive regulation of myeloid leukocyte cytokine production involved in immune response",113722,12,0.715448688912376,0.0048819743608164,0.19475369871029
"GO:0008200","GO:0008200","ion channel inhibitor activity",289632,35,0.625818649323149,0.00501214910566957,0.196819256459414
"GO:0086002","GO:0086002","cardiac muscle cell action potential involved in contraction",259701,31,0.633359916300236,0.00509927465392373,0.196819256459414
"GO:0030296","GO:0030296","protein tyrosine kinase activator activity",137356,15,0.691464673160664,0.00512640916066483,0.196819256459414
"GO:0030901","GO:0030901","midbrain development",650147,85,0.580641329635931,0.00512769229406919,0.196819256459414
"GO:0060306","GO:0060306","regulation of membrane repolarization",229611,27,0.642741373373979,0.00513497362192239,0.196819256459414
"GO:0004364","GO:0004364","glutathione transferase activity",214472,25,0.64829441547646,0.00514410643978076,0.196819256459414
"GO:0071347","GO:0071347","cellular response to interleukin-1",481654,87,0.420336563173883,0.00515233655652917,0.196819256459414
"GO:0008066","GO:0008066","glutamate receptor activity",229266,27,0.641775627944474,0.00539789682149071,0.20463142057772
"GO:0046887","GO:0046887","positive regulation of hormone secretion",831924,111,0.570077645912437,0.00543646213624255,0.20463142057772
"GO:0035269","GO:0035269","protein O-linked mannosylation",56275,14,0.303506709237606,0.00545812884893339,0.20463142057772
"GO:1902930","GO:1902930","regulation of alcohol biosynthetic process",355177,44,0.610882741445024,0.00548670634263599,0.20463142057772
"GO:0031641","GO:0031641","regulation of myelination",251599,30,0.634006148573732,0.00554912507671767,0.205741972697362
"GO:0042552","GO:0042552","myelination",782543,104,0.572027666343084,0.00563174032109698,0.207583972186399
"GO:0033119","GO:0033119","negative regulation of RNA splicing",56549,14,0.304984467359883,0.00576477963654279,0.210789610018549
"GO:0051965","GO:0051965","positive regulation of synapse assembly",412764,52,0.601072938873938,0.00587221373978172,0.210789610018549
"GO:0048662","GO:0048662","negative regulation of smooth muscle cell proliferation",168720,34,0.37525354969574,0.00592795243027134,0.210789610018549
"GO:0000242","GO:0000242","pericentriolar material",167716,19,0.666754127557734,0.00593471932791481,0.210789610018549
"GO:1901685","GO:1901685","glutathione derivative metabolic process",251094,30,0.632733595403689,0.00594363578042698,0.210789610018549
"GO:1901687","GO:1901687","glutathione derivative biosynthetic process",251094,30,0.632733595403689,0.00594363578042698,0.210789610018549
"GO:0042921","GO:0042921","glucocorticoid receptor signaling pathway",144404,16,0.681562452801692,0.00596586295902278,0.210789610018549
"GO:0035641","GO:0035641","locomotory exploration behavior",104722,11,0.718667005222452,0.00601750561838242,0.210789610018549
"GO:0016266","GO:0016266","O-glycan processing",274283,52,0.399414892997355,0.00607822213756906,0.210789610018549
"GO:0044295","GO:0044295","axonal growth cone",175266,20,0.661980661731379,0.00608155604990783,0.210789610018549
"GO:0071826","GO:0071826","ribonucleoprotein complex subunit organization",1264050,174,0.55523197587999,0.00608657925168585,0.210789610018549
"GO:0016247","GO:0016247","channel regulator activity",941347,127,0.564479560000168,0.00612273796517403,0.210883155161158
"GO:0046627","GO:0046627","negative regulation of insulin receptor signaling pathway",151823,31,0.370266585698364,0.00622435745953498,0.212836125680311
"GO:0008009","GO:0008009","chemokine activity",233268,45,0.392320694265748,0.00624697497237149,0.212836125680311
"GO:0022616","GO:0022616","DNA strand elongation",346347,43,0.609502943272708,0.00650897129514231,0.219219564714365
"GO:0043209","GO:0043209","myelin sheath",1153516,158,0.557307952459175,0.00656272400238781,0.219219564714365
"GO:0006081","GO:0006081","cellular aldehyde metabolic process",418408,76,0.417642878247051,0.00657127239243466,0.219219564714365
"GO:0071625","GO:0071625","vocalization behavior",128202,14,0.691429002890797,0.00657345672394336,0.219219564714365
"GO:0014910","GO:0014910","regulation of smooth muscle cell migration",389795,49,0.602240896358543,0.00667091155811711,0.220260919088551
"GO:2000648","GO:2000648","positive regulation of stem cell proliferation",512081,66,0.588144559604535,0.00667457330571367,0.220260919088551
"GO:0016765","GO:0016765","transferase activity, transferring alkyl or aryl (other than methyl) groups",425800,54,0.597181549923143,0.00678053914235695,0.221556268320712
"GO:0046633","GO:0046633","alpha-beta T cell proliferation",129646,27,0.362913136097325,0.00685197161599646,0.221556268320712
"GO:0061045","GO:0061045","negative regulation of wound healing",490307,63,0.589818173069405,0.00687733199064478,0.221556268320712
"GO:0055083","GO:0055083","monovalent inorganic anion homeostasis",79186,18,0.332267539442766,0.00688215989264218,0.221556268320712
"GO:0060525","GO:0060525","prostate glandular acinus development",46835,12,0.294648698978308,0.00688958092826584,0.221556268320712
"GO:0044782","GO:0044782","cilium organization",1268497,175,0.554043742697721,0.0069450431648629,0.221643642890215
"GO:0005044","GO:0005044","scavenger receptor activity",175806,35,0.379870571839111,0.00697488856401056,0.221643642890215
"GO:1902306","GO:1902306","negative regulation of sodium ion transmembrane transport",104002,11,0.713725920791672,0.00705652442009703,0.221643642890215
"GO:0030258","GO:0030258","lipid modification",1227359,169,0.554853639692935,0.00705708886732897,0.221643642890215
"GO:0043928","GO:0043928","exonucleolytic nuclear-transcribed mRNA catabolic process involved in deadenylation-dependent decay",242341,29,0.631686915632062,0.00706812188179171,0.221643642890215
"GO:0046165","GO:0046165","alcohol biosynthetic process",1076641,147,0.558621648644203,0.00717623538709158,0.223919859627912
"GO:0060078","GO:0060078","regulation of postsynaptic membrane potential",518253,67,0.586393708057393,0.00727523157331259,0.224881965780275
"GO:0030315","GO:0030315","T-tubule",338043,42,0.609007480110688,0.00727842630797654,0.224881965780275
"GO:0048247","GO:0048247","lymphocyte chemotaxis",252492,48,0.398202119606359,0.00737190257092852,0.226659033680792
"GO:0060712","GO:0060712","spongiotrophoblast layer development",63342,15,0.318870346598203,0.00757843678386709,0.230311403330318
"GO:0035418","GO:0035418","protein localization to synapse",189138,22,0.649530206873815,0.00760285399239051,0.230311403330318
"GO:0030658","GO:0030658","transport vesicle membrane",1034465,141,0.55932234548096,0.00761111823331229,0.230311403330318
"GO:0021871","GO:0021871","forebrain regionalization",211729,25,0.640003022746165,0.00770666809415043,0.230311403330318
"GO:0007212","GO:0007212","dopamine receptor signaling pathway",153456,31,0.374249153125206,0.00770828368394958,0.230311403330318
"GO:0043197","GO:0043197","dendritic spine",833880,112,0.56635913151203,0.0077099327467392,0.230311403330318
"GO:0030544","GO:0030544","Hsp70 protein binding",211534,25,0.639413587244011,0.00792569626679277,0.232551068711001
"GO:0048709","GO:0048709","oligodendrocyte differentiation",623562,82,0.577141365675952,0.00792764277280201,0.232551068711001
"GO:0006271","GO:0006271","DNA strand elongation involved in DNA replication",300668,37,0.614640508445818,0.00792959850480702,0.232551068711001
"GO:0022626","GO:0022626","cytosolic ribosome",672820,89,0.574058416045172,0.0079324892547779,0.232551068711001
"GO:0005741","GO:0005741","mitochondrial outer membrane",1102133,151,0.556869919869924,0.0080445312838534,0.234243997918687
"GO:0009086","GO:0009086","methionine biosynthetic process",119275,13,0.692714231785579,0.00807091955317441,0.234243997918687
"GO:0048167","GO:0048167","regulation of synaptic plasticity",1012818,138,0.559394883351007,0.00810172799401456,0.234243997918687
"GO:0005542","GO:0005542","folic acid binding",42460,11,0.291386729070733,0.00829524130189535,0.238125606393796
"GO:0032024","GO:0032024","positive regulation of insulin secretion",481021,62,0.587935982555809,0.0083589915679468,0.238125606393796
"GO:0043218","GO:0043218","compact myelin",126946,14,0.684655045950727,0.00837810638870887,0.238125606393796
"GO:0072524","GO:0072524","pyridine-containing compound metabolic process",694558,121,0.436945174722583,0.00838709894009564,0.238125606393796
"GO:0003254","GO:0003254","regulation of membrane depolarization",314798,39,0.610616808362477,0.00843855280499914,0.23829516047373
"GO:0035640","GO:0035640","exploration behavior",203545,24,0.640852475945796,0.00846868411012464,0.23829516047373
"GO:0010591","GO:0010591","regulation of lamellipodium assembly",125534,26,0.364890475304623,0.00856156213208305,0.239837893860086
"GO:0014909","GO:0014909","smooth muscle cell migration",430429,55,0.592742696219179,0.00871407513707593,0.241854464373137
"GO:0043255","GO:0043255","regulation of carbohydrate biosynthetic process",615267,81,0.576450549357888,0.00874845676053437,0.241854464373137
"GO:0097484","GO:0097484","dendrite extension",180631,21,0.649805559452761,0.00874866220483502,0.241854464373137
"GO:0072643","GO:0072643","interferon-gamma secretion",80671,18,0.338498657267539,0.00884979966520848,0.242245018209033
"GO:1902743","GO:1902743","regulation of lamellipodium organization",177776,35,0.3841272242089,0.00885952980566299,0.242245018209033
"GO:0007626","GO:0007626","locomotory behavior",1358770,189,0.550100180523319,0.00892341615289845,0.242245018209033
"GO:0072087","GO:0072087","renal vesicle development",172850,20,0.652855416226016,0.00898779211370117,0.242245018209033
"GO:0030002","GO:0030002","cellular anion homeostasis",53459,13,0.310474199262421,0.00899338953846004,0.242245018209033
"GO:0030320","GO:0030320","cellular monovalent inorganic anion homeostasis",53459,13,0.310474199262421,0.00899338953846004,0.242245018209033
"GO:0014013","GO:0014013","regulation of gliogenesis",656994,87,0.573354731790585,0.00908167019394333,0.243475212661098
"GO:0090100","GO:0090100","positive regulation of transmembrane receptor protein serine/threonine kinase signaling pathway",573986,101,0.431939629320536,0.00913020588213265,0.243475212661098
"GO:0005916","GO:0005916","fascia adherens",110743,12,0.696707182042378,0.00915494612100274,0.243475212661098
"GO:0032838","GO:0032838","cell projection cytoplasm",157355,18,0.660267707284324,0.00929316408624058,0.246112660653674
"GO:1900274","GO:1900274","regulation of phospholipase C activity",386672,70,0.418856969539408,0.00950263189068638,0.248409522868049
"GO:0015934","GO:0015934","large ribosomal subunit",628227,83,0.57449715370019,0.00954888969151462,0.248409522868049
"GO:0097435","GO:0097435","fibril organization",187580,22,0.644179785158933,0.00962681345924458,0.248409522868049
"GO:1900077","GO:1900077","negative regulation of cellular response to insulin stimulus",161022,32,0.380457999395131,0.00965232654060119,0.248409522868049
